KFCAustralia,2016-05-09T02:00:00+0000,41142213,110233818125_10154129696008126,7153,282,1618,photo,This week is your last chance to try Hot & Spicy before it & the $5 Box leaves stores on Monday! 😱
KFCAustralia,2016-05-08T02:00:00+0000,41129340,110233818125_10154145791118126,2384,163,1904,photo,Tag the peeps you'd share this Giant Feast with! 😊
KFCAustralia,2016-05-07T05:00:00+0000,41115595,110233818125_10154145624928126,2850,45,140,photo,Mother’s Day slipped your mind? 😱 This is what your mum’s night could look like! 😍 Purchase any family meal this Mother’s Day and get a BONUS 3 month digital magazine subscription 🙌
KFCAustralia,2016-05-07T02:00:00+0000,41115595,110233818125_10154145786018126,173,13,174,video,Tag someone who falls for this every time! 😂
KFCAustralia,2016-05-06T02:00:00+0000,41104602,110233818125_10154129692713126,7989,178,760,photo,Look at that Hot & Spicy! Also available in the $5 Box 😍🙌
KFCAustralia,2016-05-05T02:00:00+0000,41094028,110233818125_10154145784113126,2733,45,413,photo,Are you the type of person to wolf down a meal  or eat it slowly and savour every bite? 😋
KFCAustralia,2016-05-05T00:00:01+0000,41094028,110233818125_10154147793693126,445,26,72,video,Ain't nobody got time on Mother's Day! But on Mother's Night...take that well earned break 💆🏼
KFCAustralia,2016-05-04T06:00:00+0000,41078258,110233818125_10154145794993126,378,32,258,video,$2 = Choc Brownie Krusher 🎊 Everyday  2-5pm for #KrusherHour... But be quick  this sweet deal ENDS MONDAY! 😱
KFCAustralia,2016-05-04T02:00:00+0000,41078258,110233818125_10154145779288126,322,10,208,video,Fancy a dip? Which sauce would YOU pick?
KFCAustralia,2016-05-02T23:00:00+0000,41052355,110233818125_10154143755868126,465,21,112,video,After a day of 🎉  give Mum what she deserves... Her favourite mag and no washing up! Purchase any family meal this Mother’s Day and get a BONUS 3 month digital magazine subscription 🙌🏻
KFCAustralia,2016-05-02T06:00:00+0000,41052355,110233818125_10154143394018126,1190,72,653,video,Lunch plans with your mates = sorted! Try the Hot & Spicy $5 Box  available until 4PM daily! 😋
KFCAustralia,2016-05-02T02:00:00+0000,41052355,110233818125_10154119218023126,1522,13,120,photo,That struggle when you try to eat your burger and scroll through your feed at the same time…
KFCAustralia,2016-05-01T02:00:00+0000,41047707,110233818125_10154131884148126,1632,35,490,photo,Sorry I can't text you back  I'm "busy"… 😉 Remind you of anyone?
KFCAustralia,2016-04-30T02:00:00+0000,41039376,110233818125_10154131880983126,829,36,304,video,We give our nuggets a perfect 10 🏆
KFCAustralia,2016-04-29T02:00:01+0000,41031944,110233818125_10154131870678126,1961,39,701,photo,Time to settle it once and for all - are you #TeamZinger or #TeamOriginalRecipe?
